作品类型,作品名,评论内容,主题列表,主题,情感代码,情感
书籍,厌女简史,不仅仅是厌女的细致科普、也是一本很适合对西方历史不太了解的阅读者理解希腊罗马文明、宗教起源、法国大革命、启蒙运动等重要历史节点的好书。让这个世界变好的前提是理解了这个世界为什么变成这样。,['性别歧视与刻板印象'],性别歧视与刻板印象,PH,赞扬
书籍,厌女简史,看了有个问题，既然女权默认男性厌女，那男性需要顺从女权，真的表现出厌女么？,"['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,PG,相信
书籍,厌女简史,"渐入佳境，其实厌女史又怎能几百页就写清楚呢，从古希腊到中世纪到近代到二战（甚至可以上推到玛丽亚米斯的原始社会猎人范式），从潘多拉到女巫裁判所到南京大屠杀——杰克霍兰在我们从初高中开始学习的主流叙事外，展开了另一个视角的深重历史。这正是女性主义的内在要求，粉碎二元对立、绝对化、极端化的父权积习，艰难开辟出一条alternative的道路，一扇坐南朝北的窗户。
厌女传统既是当下的原因也是当时的结果，几千年历史一再表明进步何其困难，后退又何其容易，联系起最近中印韩各国的社会新闻，真的让人很沮丧。
PS：在本书书写的历史纵深中，相信可以让很多读者都链接起许多女性主义的伙伴文本。","['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '父权与男性凝视', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;父权与男性凝视;性与性暴力,PH,赞扬
书籍,厌女简史,作者的女儿序言中写父亲临终时还卧在病床上看稿那段真心动人，很了不起的一个男性，文中还写到：当父亲告诉其他一些男士他正在写作的内容时，他们通常的反应都是，以为我父亲在写某种为厌女症辩护的书籍，他们的这一反应着实令我父亲大为惊讶。另一种常见的反应便是，人们也很惊讶，这样一本书竟然会由一个男人来执笔。对此，父亲给出的回答也很简单，“为什么不行呢？ ”他会说，“厌女症本来也是由男人发明的。”,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,PG,相信
书籍,"Men, Women, and Chain Saws",虽然已经有一些年头了，但是很多角度还是挺有启发性的。和传统主流电影不同，这些受众基本固定而且很少会被大众广泛讨论的电影，在性别角色的设计与超越上受到的限制更少。抛开用文明理性的视角去分析什么权力结构、法律与正义，反倒是最直接最原始的暴力冲破了一丝牢笼。当然，父权制的结构也并不是那么容易被打破的，在角色性别的设定之下，观众们短暂享受完后依然退回到安全区内，故事的本质依旧还是与父权的合谋。不由得想到近几年主流电影的某些尝试，既不能用最纯粹的血腥暴力让观众超越性别感受到疼痛，又削减了原有的艺术性，建议还是先别出发了……,"['性与性暴力', '父权与男性凝视', '性别暴力与家暴']",性与性暴力;父权与男性凝视;性别暴力与家暴,NN,贬责
书籍,革命之路,一个对自我对生活抱有过高期待的女性进入婚姻然后被婚姻毁灭的悲剧。可以不喜欢她，但她对“真正活着”这件事的追求，或许是一个人所能发动的最后的革命，是谓革命之路。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PH,赞扬
书籍,革命之路,他们只是这世间很常见的一对男女，阴差阳错地困在婚姻的桎梏中。他们谈论的“巴黎”也不是那个真正的巴黎，而是一次对平庸人生的突围。但最终这一切都失败了，就像我们大多数的人生一样。,['婚育与母职'],婚育与母职,NN,贬责
书籍,革命之路,他们的矛盾其实并不在于流产的孩子，也不在于夭折的巴黎突围，而是——他们本身并不match，这一段婚姻本身就是他们对自己本性的背叛和欺骗，沟通、妥协和憧憬带来的苍白的平静只是一个虚无缥缈的阁楼，人生啊，一步错步步错，之后再想强行重置轨迹就必须要撕裂自己了。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,NN,贬责
书籍,革命之路,耶茨仿佛是个捏泥人的上帝，无情无欲。婚姻劝退指南，爱情本虚无。,['婚育与母职'],婚育与母职,NN,贬责
书籍,影子母亲,因为有“妈妈”这个身份，所以比较关注母职相关书籍。这本书可以说是涉足了一个我不曾特别留意但又非常重要的领域，就像生活中很多支撑每一日的常规细节，突然以一种很学术化的方式出现，把无数微观上升到宏观角度，让我们得以俯视周遭的一切，然后思考更多。,['婚育与母职'],婚育与母职,PD,尊敬
书籍,影子母亲,社会阶层越高的女性面临的“文化资本传递”和“密集母职”双重焦虑程度越高。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,NE,烦闷
书籍,影子母亲,比起之前多以“职场母亲”在事业和家庭之间努力平衡，进而切入母职探讨的角度；印象里这是自己第一本看到将保姆纳入考虑的书籍。书名里的“影子母亲”，生动地形容了这个很经常、却常常被忽视的关系。各路类型化影视题材剧里，“保姆”总成为被热衷的取材；“灵异”“辣手”“魔法”“完美”，种种描绘都试图将她们放入一个神秘又稍微污名化的位置。本书当中的一些分享，也在解答着这些误解与矛盾。扎实的第一手访问以及经历分享值得一看，虽然进入到理论部分有些干瘪；但总的来说还是很有新意的。【2024 #32】,"['婚育与母职', '家务与家庭分工']",婚育与母职;家务与家庭分工,PH,赞扬
书籍,影子母亲,母职外包，希望受雇帮手是母亲不在时候的替代却也要在母亲回归时候消失。这一话题感觉更适合写小说戏剧，社会学意义上的探讨部分略显牵强，可能说说这样家庭结构对社会地位发展带来何种意义的改变和影响可能会让我更感兴趣。但作者本人在写作期间的经历还是让人唏嘘。,['婚育与母职'],婚育与母职,PH,赞扬
书籍,影子母亲,真得是特别棒的社会选题和田野调查，“影子母亲”和副标题的“微观政治”绝妙地说明了育儿嫂的地位和雇主妈妈们的微妙心理：既希望通过对育儿嫂的监督实现对后院的掌控，又希望育儿嫂在该消失的时候消失，不影响自己作为真正母亲的绝对地位。要冲破密集型母职带来的无形枷锁，更需要建立以信任、自主权、双向沟通和共同决策为基础的伙伴关系式育儿方式。,['婚育与母职'],婚育与母职,PH,赞扬
书籍,影子母亲,对于不少重回职场的妈妈而言，理想的“影子母亲”凝聚了多重身份期待。母亲希望保姆能成为自己的延伸，如同自己一样爱护孩子；但当真正的母亲回到家中时，她们也能随时“消失”。这就使得孩子母亲与保姆之间的关系变得极为暧昧，这里既是不同版本母职观念的碰撞之所，也是再生产劳动在女性内部的二次分配。在生活中，这种“合作育儿”的构想往往会在文化结构影响下的家庭微观政治中裂缝丛生。作者通过对30位职场妈妈和50位育儿保姆的深度访谈，以大量细节集中呈现了家中育儿日常的矛盾与冲撞。作者最终发现，影子母职的实质是它既不为孩子服务，也不为家庭服务，而是服务于一整套密集母职的信条和自给自足的核心家庭想象。如果这一观念系统得不到正视，外出的母亲依然会陷入内疚、保姆的经验仍旧得不到采纳、回到家中的父亲还是无法真正参与家庭。,"['性与性暴力', '婚育与母职', '女性情谊与叙事']",性与性暴力;婚育与母职;女性情谊与叙事,PH,赞扬
书籍,影子母亲,选题新颖，访谈了80位女性，有雇主有被雇者，后者中有移民保姆有美国出生有欧洲环工。与身体本身关系已经不大，更涉及家政劳动关系及其与母职的关系。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PH,赞扬
书籍,影子母亲,"在讲到育儿保姆这一块内容上和之前看过的跨国灰姑娘一书有些重合的地方

我们总在强调母职惩罚，中产阶层的母亲面对密集母职向市场寻求帮助，以金钱付出实现了母职代偿，却忽略了影子母亲想要成为第三家长而不是工具人的欲望。",['婚育与母职'],婚育与母职,nan,中性
书籍,神圣的欢爱,性学和女性主义百年发展史的集大成者，能否成传世经典还需时间检验。 @2019-02-21 10:43:09,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,神圣的欢爱,太美好以至于无法实现，此外这种伙伴的关系不光在男女两性的交往之中是至上的形式，在所有的public relationship中都是至上的形式。因此即使不是对女权主义有较大兴趣的人也可以看一看,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PD,尊敬
书籍,神圣的欢爱,以前无意识厌女，现在看这本书调理好了，建议所有人仔细阅读全文并背诵重点段落。,['性别歧视与刻板印象'],性别歧视与刻板印象,NI,慌
书籍,神圣的欢爱,统治/伙伴式关系 实证主义解构原教旨 父权统治模式 性痛苦/快乐 灵肉分离 神话和灵性 展望伙伴式关系 感觉很多篇幅同义重复有的论证也有点诡异 但是真的是大型百科全书,"['性与性暴力', '父权与男性凝视']",性与性暴力;父权与男性凝视,PA,喜好
书籍,中国的性/性别,第一篇对我来说很晦涩，以至于后面有柳暗花明的感觉，中国的女性主义或者说东亚的女性主义，存在于一个特定的文化场域当中，面临着来自于文化的更多阻力。东亚的所有社会问题都同女性问题一样纠结在根深蒂固的父氏体系下面，但我相信根一棵系腐败的树木迟早会倒塌，一棵更健康的树木会更好的庇护人类。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,中国的性/性别,很好读的论文集，通过不同论文以时间为视点描摹中国性别研究方面的成果与版图。其中有关在李小江先生的推动下发展的80年代以降中国社会主义女权运动的反思，以及通过对于中国古代女性复仇者的身份与故事塑造中国古代社会中女性社会身份的形态都很有启发。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PE,安心
书籍,男性困境,写的挺好的啊，怎么铺天盖地都是一星？男权社达价值观本来就不止迫害女性，在这套体系之下也否定了男性脆弱的权利，强制男性必须也要走上社达道路，按照“阳刚之气”模版成长（当然，肯定还是女性的强制脆弱更惨），男性必须要强和女性一定要弱，在男权体系里是一体两面相同的东西，不懂否定男性脆弱究竟是恨生理性别还是男权价值观。再说的简单一点就是，男性争取“服弱役”自由你是不是该高兴？,"['性别平等与权利', '性与性暴力']",性别平等与权利;性与性暴力,PG,相信
书籍,男性困境,"你很少能看到一本书是如此发自内心地想要帮助受苦的人、却又如此顺利地把求助的人引到一条歪路上的。
前四章花了很大的篇幅描述男人的痛苦、并把生活在这个世界上的另一群更为痛苦的人所遭受的压迫和凌虐消解为男人痛苦的副产品。
真正有用的内容放在最后一章，前四章把女读者气得半死、把男读者引去恨母亲骂父亲怕同事怨球友。
好心不一定能办成好事。两星不是给意图、是给能力。
可能父权制发展到尽头就是这样吧、悬崖就在眼前、但没有人打算停下脚步。
that‘s fine，建造新世界的重任就交给女人吧。","['性别平等与权利', '父权与男性凝视']",性别平等与权利;父权与男性凝视,NB,悲伤
书籍,男性困境,"这本书其实还很容易引起男女对立矛盾的，有一条评论说得好：“女性的困境是男性制造的，男性的困境也是男人制造的”。
但这本书真正的意义在于提出的问题以及解决方案非常值得思考和探讨。核心在于在无形父权制所操纵的纯粹物质的现代，男人由于缺失了古老时代精神性的仪式，无法把自己与“母亲”分离，也缺乏“父亲”的指引，从而产生的退行性行为与压抑。这种痛苦成为一种广阔弥散的神经症，笼罩在每个人的头上。在书中被称之为“萨图尔情结”。
这本书的八大秘密，相当于从根本上剖析了男性内心中无意识的部分，是每个男性在生活中那些愤怒，痛苦与抑郁表象的源头。而只有清醒地意识到这些情结与无法自控的部分，才能远离并改变自我。
最后的解决办法我觉得作者还没有想的很清楚，但是提出问题就是解决的第一步了。","['性与性暴力', '父权与男性凝视']",性与性暴力;父权与男性凝视,PH,赞扬
书籍,男性困境,“父权制如何伤害男性”的荣格系解读。读起来没前两本舒服，也说不清为什么,"['性与性暴力', '父权与男性凝视']",性与性暴力;父权与男性凝视,PA,喜好
书籍,男性困境,-_-對男性戀母情結、英雄情結、處女情結、外遇情結的分析比較客觀。強調母親重要性的同時也沒漏掉罪魁禍首的父親：“父親的逃避意味著父母—子女三角關係的平衡被打破，母子關係承擔了不成比例的重量。即使母親再有善意，她們也無法代替父親，給予兒子男性的引導。如果沒有父親把兒子從母親情結中拉出來，兒子仍然停留在男孩的狀態，要麼陷入依賴，要麼壓抑內心的女性意象，用硬漢的態度束縛自己。”此外，作者還特別指出父權制是對男性恐懼的補償。因為它“以權力代替愛，以物質來衡量價值。它崇拜的不是神明，而是自己的勃起。”但“男人天生具有暴力傾向是因為他們的靈魂曾受到侵犯”這句未免太扯了！因為原生家庭的創傷並不屬於男性或女性only。男性和女性都受制於社會和文化角色的期待，且無論誰反抗這種自我扭曲都有被污名化和孤立的可能。,"['性别平等与权利', '女性觉醒与独立', '性别暴力与家暴', '性与性暴力', '家务与家庭分工']",性别平等与权利;女性觉醒与独立;性别暴力与家暴;性与性暴力;家务与家庭分工,NN,贬责
书籍,男性困境,"中国男性的困境，其实体现在豆瓣评分比例里...

男性秘密:
1 男性和女性一样受制于社会角色的期待
2 男性生活很大程度上受到恐惧的主宰
3 在男性心理世界中，女性的力量是巨大的
4 沉默是男性心照不宣的阴谋，目的是压抑他们真实的情感
5 因为男性必须离开母亲，并克服母亲情结，所以受伤是在所难免
6 男性的生活是暴力的，因为他们的灵魂受到了侵犯
7 每个男人都深深渴望父亲和部落之父的引导
8 如果男性要痊愈必须激活内在而非从外在索取

工业革命开始造成的社会分工令父子关系更加受损，父子不再共同工作和手艺传承，再没有男孩与父亲的羁绊

男性革命的开始，从疗愈自身做起","['性与性暴力', '性别暴力与家暴']",性与性暴力;性别暴力与家暴,PG,相信
书籍,男性困境,绿茶男拜金男,['性别歧视与刻板印象'],性别歧视与刻板印象,NN,贬责
书籍,现代性的性别,"中国女权运动的现状用书里的一段话来总结再好不过：“于是，在父权制社会里，男性心理上特有的优越感被转化为一种逻辑上的优越感，而男性价值观似乎具有的超越个体的有效性。

 “女性的自主性无从表达，因为它总是必须以先在的男性原则为参照来定义。要么女性被纳入所谓的一般性客观规范中，要么女性被描述成另一类人，成为与男性相反的那一极。”","['性别平等与权利', '女性觉醒与独立', '父权与男性凝视', '性与性暴力']",性别平等与权利;女性觉醒与独立;父权与男性凝视;性与性暴力,PH,赞扬
书籍,现代性的性别,很学术的作品，好在作者细读的文本，不少是我所了解和听闻的。左拉的《妇女乐园》和《娜娜》分别以女性无度的物质和性欲挥霍动摇了两性关系和父权制家庭结构，也为资本家带来巨大的经济效益。福楼拜笔下的包法利夫人不加评判地吞噬小说，将文学作为自我陶醉和放纵的手段，否定了文学的自主性，进而威胁到福楼拜本人的个人和社会身份基础。《道雷·格林的画像》等一批唯美主义小说让男性“女性化”，重构了情色权力结构，却最终肯定了男性中心主义世界观，否定了女性在理想化过程中的能动性和自我意识。一众女性作家创作的通俗小说通过召唤神秘的另类世界赋予女性探索外界的意志和智慧，摆脱了性别规范的束缚，却因其张扬女性特色而再次巩固了社会对女性原有的成见……从性别角度对经典文本的解读加深了我对经典的认识，总之，是一本拓宽眼界的书。,"['性与性暴力', '性别歧视与刻板印象', '父权与男性凝视']",性与性暴力;性别歧视与刻板印象;父权与男性凝视,PH,赞扬
书籍,现代性的性别,进化与革命的那章真的很有启发……一个总的感受，女性主义的问题深陷于普遍的种族、阶级和性别不平等的结构中……所以军国主义修辞和言说方式走向种族和阶级鄙视链真的一点也不难理解了……,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,现代性的性别,这书不行 而且我怀疑很多人不敢说 都自我PUA了,['性与性暴力'],性与性暴力,NJ,愤怒
书籍,现代性的性别,"分析的好详尽！我喜欢作者的观点，讲女性主义完全归类到带有反现代的后现代主义中，实际上忽视了女性作为多元的现代主义的一部分，也忽视了女性怎样以完全不同的方式改变着现代和现代主义，女性主义内部也有多种分化，其光谱甚至来自于保守主义，甚至基督教
文本细读也非常好，尽管大多数著作都没读过，但是对王尔德，还有左拉的著作的解释太好","['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,现代性的性别,细心梳理并评价了广泛体裁的文本中女性气质的隐喻，作者希望通过这种方式揭示女性气质和现代性之间的复杂关系，强调现代性的模糊性复杂性，而非期望达到一种总体逻辑或现代女性主义神话。文本分析类著作真的用到太多学术理论了，对拉康精神分析理论及心理语言学有基础的话会更好读些。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,现代性的性别,作者通过不同现代性行为群体的性别来探索现代性的性别，却并没有完备的群体性化理论来定义性别,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,PE,安心
书籍,现代性的性别,【2021No.2】学术性很强，和论文无异，所以确实比较枯燥，断断续续看了三天才看完，不过真的给我的女权主义认知提供了很多新奇的角度，比如消费主义对于女权和父权的影响，我之前就没想过百货商店实际上解放了家庭妇女这件事，还有女性在自己和家的装扮上更具审美感，或者更加喜欢这些，可能是由于文化限制女性创造艺术，所以女性才以自身和家来作为宣泄审美的出口。,"['性别平等与权利', '女性觉醒与独立', '父权与男性凝视', '性与性暴力']",性别平等与权利;女性觉醒与独立;父权与男性凝视;性与性暴力,PH,赞扬
书籍,缠足,无论是性别史还是女性主义很可能都需要拒绝这种含糊不清，温情脉脉的立场。不是所有的过去都值得同情和接受，也不是所有的压迫-解放叙事都只是一种生硬的构造，而惯习和意识形态下的“自愿”与“理性选择”乃至适应性偏好大概不是什么值得赞美的能动性。“我们应该有一种对过去的取向——同现在保持距离。因为我们大多数对过去的取向做不到这点。史学应当对现在持批判态度，这在更大范畴内并不意味着要舍弃肯定而只取批判。它只意味着：我们要认识到在事物的正常进程中肯定总是会繁荣兴旺而批判却不会。批判也要对时下被普遍接受的批判 (或所谓的批判 ) 观点持批判态度，这就使得事情更为困难。”承认弱势者的存在，从“她们是受到压迫的agent”角度研究或许比单纯的能动性范式更好,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,缠足,缠足也好，高跟鞋也罢。甚至是化妆品都会对女性造成一定伤害吧！女性缠足，作为客体与男性视角有关，要是没有男性欲望的凝视，或许女性不用受缠足之苦。束缚女性的东西其实生活中很多，家庭、孩子、事业，每一样，都需要做一个选择，相较于男性而言，就有好男儿志在四方这一说法。,['性与性暴力'],性与性暴力,PG,相信
书籍,缠足,"我曾以为“放足”是无可争议的妇女解放运动，读了才发现并非如此，这一运动过程充满了父权的血腥与暴力，比如女性被塑造成“愚昧”“不进步”的象征，在被影像曝光时精神上受到二次伤害，年老妇女放足过程中对肉体也是折磨。并且放足运动与基督教传教、日军侵华、地方政治等复杂的社会现实交织在一起。这一运动从结果上看是成功的，但女性身体的自主权和主体性仍然值得探讨。

尽管有不足的地方，例如引用了较多不太有历史价值的男文人的记述，以及缺乏对母亲强迫女儿缠足这一现象的探讨，但至少前两章仍然值得一看","['性与性暴力', '父权与男性凝视', '性别暴力与家暴']",性与性暴力;父权与男性凝视;性别暴力与家暴,NN,贬责
书籍,缠足,不认为作者证出的是古代女性失落的主体性，更像是伪装成女性视角后按图索骥式的定论,"['性与性暴力', '女性情谊与叙事']",性与性暴力;女性情谊与叙事,nan,中性
书籍,缠足,"太爱作者了！！高老师敏锐的视角严密的逻辑和对女性的关怀让我忍不住想和她隔空拥抱！！！
对缠足的否定，也是对缠足女性的否定，是对她们所经历的真正的忽视。在被盖棺定论的宏大叙述中，缠足是一种象征，是巩固封建社会的象征，更是男性解放女性的象征，而女性永远只是孤立而单薄的等待被欣赏、被占有、被救赎的客体--他们把她从封建中解放出来，却又以进步束缚她。而作者捡起了被“历史规律”定义为例外、错误、噪音，从而被忽视的边角料，她让我们听见了她们的欲望和痛呼。“只要能够，我都努力想要站在她们的角度来观察她们的世界”。",['性与性暴力'],性与性暴力,PH,赞扬
书籍,缠足,"读完了，对这本说不出什么好话，不是什么东西都可以通过剥离父权视角赋予女性视角就能洗白的。尤其是缠足这种东西，它根本不是一种自由，束腰不是，做家庭主妇也不是，拼男宝也不是。不能因为女性拥有这些的主体性，她就变成了一种女性能动性的证明。
缠足不幸被绑定为一种中国现代化进程必须摒弃的陋习，成了当时改革派们的靶子，被强制禁止，这确实是又一次历史上发生过无数次的父权无视女性意愿进行的改革，但这是所有女性的幸运，虽然她们什么都不能决定，被推来搡去。
我认为应该指出放足运动中忽视女性的不足，并提高女性在各种运动中的主体性，而不是为这种陋习翻案。
后面虽然没怎么说前面的观点了但是材料和论证也太水了吧。","['性别平等与权利', '婚育与母职', '女性情谊与叙事', '父权与男性凝视', '性与性暴力']",性别平等与权利;婚育与母职;女性情谊与叙事;父权与男性凝视;性与性暴力,NL,怀疑
书籍,缠足,印象最深的是第一章，缠足逐渐失去光环，但缠足的终结并不是一个直线的进程，而是漫长而反复。女人的身体长期被物化，在国族主义之下，放足运动变成一场荒诞的闹剧。女性的身体是一种物件或器械，想缠便缠，想放便放。“美丽、地位、性、文化、金钱：缠足就是纠缠在这种种人性欲望的追求之中。,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,NB,悲伤
书籍,国家、组织与妇女,从牢中近代到改开期间妇女运动发展的史料集合，读起来干巴巴的。最有趣的还是三四五章，作者一方面肯定脆皮肠对女性的解放另一方面指出妇女对郭嘉的依附性。边区推行43决定后引起男性农民的反抗，为了不影响revo的团结而不得不做出妥协与让步。这究竟是理解为一种战线内部的大局着想的和解、还是revo与传统性别秩序的合谋。作者视为前者，并且有不少和稀泥的地方。我认为这都是也都不是，因为相当于重新把街机性内容引入妇女运动，但又陷入同企业髮团制相似的另一种“劳动人民”的身份郑智中——她该怎么判定，就显然是通过它最终带来的性别问题上的郑智后果判定。可以说是死结。对单位制之于妇女的影响的分析不错，因为在单位之外没有均质的市民社会提供生活，单位本身就是社会。对改开后的妇女的分析隔靴搔痒，我觉得要结合新自问题来理解。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,国家、组织与妇女,目前读过的国内文献中将中国男性对女性的恶意总结得淋漓尽致的佳作，同时也从马克思主义经济学角度论证了资本主义商品经济体系下，女性的个人自由，发展权教育权一定会被限制，其实看越多书感觉越深刻的只有一句话，在这个父权制体系下的世界，生而为女人就是原罪,"['性别平等与权利', '父权与男性凝视', '性与性暴力']",性别平等与权利;父权与男性凝视;性与性暴力,PH,赞扬
书籍,劳作的女人,“题目比内容好”+1。不应该叫作“劳作的女人”，用働き会比较好。作者走得太匆忙，可能是书没有更好地完成或没有后续的原因（？）。,['性别歧视与刻板印象'],性别歧视与刻板印象,NI,慌
书籍,特洛伊的海伦,我记得在一本人类学的著作上看到过，非洲有些部落会把男性的割礼当作男性的成人里。因为女性在月经初潮的时候他就明白了这世界上有些事情的必须自己面对，没有人能代替她。而男性需要有人提醒他们他们有些时候必须成年，必须自己面对这个世界。然而是实就，这句话，很多时候没有人告诉这些男性。女人被甩锅被污名化，这个故事持续了数千年，这是一个漫长而没有尽头的悲剧，一种符合希腊古典悲剧意义上的，几乎是命定的悲剧。,"['性与性暴力', '性别歧视与刻板印象']",性与性暴力;性别歧视与刻板印象,NB,悲伤
书籍,特洛伊的海伦,将女神的威严和生命力矮化成形容物件的美，以女性的性自由为借口开始专业化军队之间的战争以延续剥削，是父权社会最初和一贯的武器。有一些关于安纳托利亚沿海城邦和米诺斯克里特的信息,"['性别平等与权利', '父权与男性凝视', '性与性暴力']",性别平等与权利;父权与男性凝视;性与性暴力,PH,赞扬
书籍,特洛伊的海伦,鲜少被研究的神话角色中的女性，作为一位女性作者，从众多学术材料中梳理出海伦的多重身份，更加深入剖析了希腊神话中神&人性的综合体。副标题『女神、公主与荡妇』很好地概括了海伦丰满的形象。对古希腊历史与神华中的女性主义有兴趣的可以读读，属于这一小众领域里非常到位的书籍。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,特洛伊的海伦,“千百年来，我们选择将后荷马时代的厌女世界观（这种世界观自公元前5世纪起，就在雅典等城市形成）作为我们的标准，但是海伦诞生于更早的时代。”,['性别歧视与刻板印象'],性别歧视与刻板印象,PH,赞扬
书籍,情为何物,一个周末读完了，满脑子里都是鲁迅名言“我们中国的最伟大最永久，而且最普遍的艺术就是男人扮女人”。此书大背景为明清社会禁欲和纵欲并行的独特现象，纵欲属于男性，禁欲属于女性。男性纵欲形成的男同性恋普遍风气，并非现代意义上的宽容，而是封建社会男性中心意识发展到极端之后男性之性特权的畸形扩大（也有一些作品构建了乌托邦式的男同性爱，体现了士人将欲升华为情的倾向和追求）。另一方面，缠足成为女性禁欲、男尊女卑之极端的产物，作者敏锐地指出三寸金莲之所以使女性心甘情愿牺牲，是因为它披着一层“审美形态”的外衣，“男权社会中男性的审美趣味也就是女性的审美趣味。多数女性意识不到其中所蕴含的性别压迫。因此，缠足对女性的悲剧性远不止肉体的痛苦，深层在于女性在审美自我意识上的毁灭”，在今日也足够令人警醒。,"['性别平等与权利', 'LGBTQ+', '性与性暴力']",性别平等与权利;LGBTQ+;性与性暴力,PH,赞扬
书籍,情为何物,这出版社还挺负责任的，把这部书原名也写在封面上（看“新版前言”，这版好像除了一些字词和文献校订增加，原文与旧版没有什么不同）。吴存存2000年出版这书，可以算是开风气之先，里面讨论的许多问题到今天也有很多部分没能继续讨论下去；但也因为是初探，所以里面问题也很多，首先就是概念使用问题，例如“女性化”、“男同性恋”和“异装癖”这些概念，作者都是以一种普遍主义的态度使用的，但问题也恰恰在这里，即明清参与与塑造出这些所谓“性爱风气”的参与者自己对此可能有不一样的理解，古人是不知道自己“是”“同性恋”的……早期讨论古代情欲与感性生活都会遭遇这个问题。但这部书还是很值得看看的，可以算是个基础的总览吧，虽然我不赞成里面好多观点，例如对“女性化”和“异装癖”的解释，这些我在我博论里也有讨论和批评。,"['性与性暴力', '性别歧视与刻板印象', 'LGBTQ+']",性与性暴力;性别歧视与刻板印象;LGBTQ+,PH,赞扬
书籍,情为何物,"彩。虽成书于二十多年前，但至今看来仍能超越众多性别史新著，且文笔极佳，说是近年新史学潮流影响的作品都不突兀。对于明清文学的横向比较非常全面，很难想象在非电子化时代怎么能熟悉数量如此丰富的作品并不断的做字句细节的阐述，尤其是叙述明清同性恋风气一章。而且挖掘红楼梦，金瓶梅，肉蒲团之间的关联实在是功底深厚。
第四章缠足写作水平甚至高于高彦颐，光270-274页的叙述就足以奠定基调。
最后一章异装癖本来并无期待，但在戏剧兴起之外能把异装癖传统和第四章缠足，闺怨婉约的文学传统联系并上升到士人心态，实在是绝妙。这样的作品几颗星都不为过。
当理学成为情欲与性爱的催化剂，看上去的人性解放反而成为了更深的社会桎梏。这也是“纵乐的困惑”。","['性与性暴力', 'LGBTQ+']",性与性暴力;LGBTQ+,PH,赞扬
书籍,情为何物,"如果不是提前知晓，初读起来确实一时无法想象本书居然是25年前专著的再版，至多仅会觉得作者的文字颇具“古风”——就此感受而言，本书的课题与讨论确实称得上“走在时代之前”。
特别值得注意的是，关于中国古代两性关系的问题，作者的考察处于一种张力之中：一方面，其学术探索的矛头直指中国现代化（西化）在古今两性观念之间所构筑的壁障——古人的性观念绝非我们想当然的那么保守；另一方面，这种看似“开放”的性观念却绝无“解放”，而是建立在一种更为明确和严酷的等级观念之上，于是明清时代男性的纵欲与女性的禁欲形成了最为鲜明的两级，加之作者关于诸如男风、异装癖等的分析，则可以进一步丰富我们对于传统时代“父权制”这一概念丰富内涵的理解——性别维度与阶级维度，二者各有不同而相互交融，共同塑造了一种帝制晚期独特的性别景观。","['性与性暴力', '父权与男性凝视']",性与性暴力;父权与男性凝视,PH,赞扬
